date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
 
2011-04-09 | 1
2006-01-11 | 1
2015-25-11 | 2
2015-11-25 | 2
11-01-2012 | 1
2015-11-27 | 5
2015-11-24 | 5
2015-1-124 | 5
2015-42-42 | 42
2019-10-9 | 1
2019-10-09 | 5000
2019-10-09 | 999
2019-10-09 | 99.9
2019-10-09 | 9.99
2019-10-09 | 0.999
2019-10-09 | 0.0999
2019-10-09 | 0.00999
2019-10-09 | 0.000999
2019-10-09 | 0.0000999
2019-10-09 | 0.00000999
2019-10-09 | 0.0000000000000000000000000000999
